FILEID,STATE,NAME,TOTPOP
ACSSF,01,Alabama,4876250
ACSSF,02,Alaska,737068
ACSSF,04,Arizona,7050299
ACSSF,05,Arkansas,2999370
ACSSF,06,California,39283497
ACSSF,08,Colorado,5610349
ACSSF,09,Connecticut,3575074
ACSSF,10,Delaware,957248
ACSSF,11,District of Columbia,692683
ACSSF,12,Florida,20901636
ACSSF,13,Georgia,10403847
ACSSF,15,Hawaii,1422094
ACSSF,16,Idaho,1717750
ACSSF,17,Illinois,12770631
ACSSF,18,Indiana,6665703
ACSSF,19,Iowa,3139508
ACSSF,20,Kansas,2910652
ACSSF,21,Kentucky,4449052
ACSSF,22,Louisiana,4664362
ACSSF,23,Maine,1335492
ACSSF,24,Maryland,6018848
ACSSF,25,Massachusetts,6850553
ACSSF,26,Michigan,9965265
ACSSF,27,Minnesota,5563378
ACSSF,28,Mississippi,2984418
ACSSF,29,Missouri,6104910
ACSSF,30,Montana,1050649
ACSSF,31,Nebraska,1914571
ACSSF,32,Nevada,2972382
ACSSF,33,New Hampshire,1348124
ACSSF,34,New Jersey,8878503
ACSSF,35,New Mexico,2092454
ACSSF,36,New York,19572319
ACSSF,37,North Carolina,10264876
ACSSF,38,North Dakota,756717
ACSSF,39,Ohio,11655397
ACSSF,40,Oklahoma,3932870
ACSSF,41,Oregon,4129803
ACSSF,42,Pennsylvania,12791530
ACSSF,44,Rhode Island,1057231
ACSSF,45,South Carolina,5020806
ACSSF,46,South Dakota,870638
ACSSF,47,Tennessee,6709356
ACSSF,48,Texas,28260856
ACSSF,49,Utah,3096848
ACSSF,50,Vermont,624313
ACSSF,51,Virginia,8454463
ACSSF,53,Washington,7404107
ACSSF,54,West Virginia,1817305
ACSSF,55,Wisconsin,5790716
ACSSF,56,Wyoming,581024
ACSSF,72,Puerto Rico,3318447
